FeatureIndex,MatchCount,Variance,MaxDisplacement,AverageDisplacement
646,162,0.0397862,0.660707,0.277677
651,151,5473.15,530.719,10.7779
652,176,0.0507626,0.684562,0.191587
654,167,13917.9,259.584,76.3051
655,161,17233.2,447.602,118.661
656,168,0.0991278,0.969851,0.388818
657,150,1190.81,334.35,5.62599
665,161,6273.49,585.498,11.4659
666,179,0.0443256,0.650303,0.22809
667,178,0.0649659,0.836369,0.252648
668,169,0.0940796,1.14378,0.396244
674,178,321.416,239.999,1.83799
676,158,0.104441,1.08202,0.230936
677,160,0.205165,1.84523,0.605328
682,171,1885.82,257.711,7.78846
683,177,0.0739385,0.942359,0.419281
688,179,0.0334337,0.624214,0.249489
694,178,0.0664697,0.771072,0.259157
697,158,0.0718923,1.08328,0.233604
699,179,0.0431556,0.68409,0.195321
700,179,0.0966402,0.977237,0.292288
701,179,0.0966402,0.977237,0.292288
703,155,1453.21,103.748,18.342
705,179,12955.7,617.905,23.4707
706,176,0.0632409,0.741316,0.218026
712,162,8.18218,36.1143,0.665332
718,172,353.017,247.081,1.71544
721,166,0.224684,2.46788,0.766267
722,161,0.0375102,0.590221,0.190423
723,164,619.5,276.072,3.28501
726,179,0.0540989,0.776102,0.26206
727,178,0.0345937,0.588634,0.207994
728,179,86.4567,88.638,1.51968
730,152,6428.34,323.79,21.5511
732,179,0.0425596,0.619409,0.267611
735,178,23.1937,45.7456,0.90322
739,177,1908.92,583.018,3.65863
741,165,90.0952,122.343,1.11987
751,164,57.2361,68.8915,1.06719
752,167,1.27057,4.27587,0.64806
757,167,0.0475786,0.79477,0.343485
759,153,0.0529433,0.690282,0.249551
768,167,0.202861,1.7737,0.82009
773,177,0.0687024,0.715348,0.305488
775,160,3.68235,17.2033,0.544239
781,172,13.5902,32.4526,0.837744
785,173,883.207,367.436,3.17567
787,179,0.0488654,0.697389,0.257864
788,179,0.0488654,0.697389,0.257864
796,159,253.386,202.197,2.83439
809,166,0.109556,1.33168,0.48176
810,172,0.138072,0.898459,0.32974
811,179,0.0844071,1.51937,0.353459
815,179,0.0412081,0.653793,0.203467
816,179,0.0412081,0.653793,0.203467
824,179,0.0440794,0.749306,0.247848
828,164,0.142827,0.949111,0.36384
829,175,156.425,83.7526,2.28018
833,175,0.076079,0.99105,0.297688
835,179,0.0520254,0.831176,0.356053
840,178,0.159434,3.46891,0.233046
842,173,0.0698636,1.12485,0.225418
849,174,0.048403,0.654317,0.198296
850,179,0.0622213,0.698133,0.261561
851,162,0.0878995,1.12117,0.378077
852,179,0.456473,2.28692,0.761752
864,172,0.133858,1.48781,0.470668
865,179,0.0964226,1.51397,0.674453
866,178,8866.83,307.072,124.118
867,179,0.34176,3.10862,2.62699
868,178,0.10983,1.65426,0.434269
