Index,X,Y,Z
68,0,0,0
321,0.046,0.018.5,0
484,0.066,0.0085,0
402,0.055,-0.015,0
447,0.0595,-0.0225,0
524,0.079,-0.0175,0
560,0.089,-0.0285,0
1103,0.220,0.004,0
1129,0.224,0.027,0
1267,0.050,0.0835,0
